applotnumber,country,receivedlotdate,procest,procestname,haccpcode,productcategory,species,finalweightrefused,refusalreasons,failedtoi,defect
1953954-3,CANADA,9/16/2021,710,"Montpak International, Inc.",03C,Raw intact beef,Veal,0,Other,,Other
1862917-1,NEW ZEALAND,9/17/2021,SPM135,South Pacific Meats Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1848896-1,NEW ZEALAND,9/17/2021,ME32,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1914266-1,VIETNAM,9/17/2021,DL847,Thanh Binh Dong Thap Ltd One Member Company Limited (Thanh Binh Dong Thap Ltd),03C,Raw intact meat - other,Siluriformes - Other,15,Shipping Damage,,"Torn, exposed"
1924255-1,GERMANY,9/17/2021,BW03330,Freiberger Lebensmittel GmbH,03H,NRTE otherwise processed meat,Pork,72,Shipping Damage,,"Torn, exposed"
1772178-1,VIETNAM,9/17/2021,DL810,"Bien Dong Hau Giang Seafood Joint Stock Company (Bien Dong Seafood Co., Ltd.)",03C,Raw intact meat - other,Siluriformes - Other,75,Shipping Damage,,"Torn, exposed"
1924227-1,AUSTRALIA,9/17/2021,486,E C Throsby,03C,Raw intact beef,Beef,60,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1942536-29,NETHERLANDS,9/17/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,12,Other,,Misc. Labeling Issue
1891340-1,ITALY,9/17/2021,760L,San Marco Prosciutti S.R.L.,03E,RTE dried meat,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1891330-1,ITALY,9/17/2021,5L,Levoni S.P.A.,03H,NRTE otherwise processed meat,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1949259-1,UNITED KINGDOM,9/17/2021,2060,Karro Food Ltd,03C,Raw intact pork,Pork,105,Shipping Damage,,"Torn, exposed"
1848381-1,BRAZIL,9/17/2021,49,JBS S/A,03C,Raw intact beef,Beef,360,Invalid Shipping Mark,,Missing Shipping Mark
1848382-1,BRAZIL,9/17/2021,49,JBS S/A,03C,Raw intact beef,Beef,180,Invalid Shipping Mark,,Missing Shipping Mark
1848385-1,BRAZIL,9/17/2021,49,JBS S/A,03C,Raw intact beef,Beef,120,Invalid Shipping Mark,,Missing Shipping Mark
1912959-7,IRELAND,9/17/2021,325,Liffey Meats (Cavan) UC T/A Liffey Meats,03C,Raw intact beef,Beef,149,Shipping Damage,,"Torn, exposed"
1848379-1,BRAZIL,9/17/2021,49,JBS S/A,03C,Raw intact beef,Beef,780,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1848380-1,BRAZIL,9/17/2021,49,JBS S/A,03C,Raw intact beef,Beef,120,Invalid Shipping Mark,,Missing Shipping Mark
1891961-1,AUSTRALIA,9/17/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,95,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1881859-3,AUSTRALIA,9/17/2021,234,HW Greenham & Sons Pty Ltd,03C,Raw intact beef,Beef,58,Shipping Damage,,"Torn, exposed"
1881862-2,AUSTRALIA,9/17/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,61,Shipping Damage,,"Torn, exposed"
1881862-3,AUSTRALIA,9/17/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1881862-4,AUSTRALIA,9/17/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,138,Shipping Damage,,"Torn, exposed"
1881863-1,AUSTRALIA,9/17/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,48,Shipping Damage,,"Torn, exposed"
1881860-1,AUSTRALIA,9/17/2021,205,Greenham Gippsland Pty Ltd,03C,Raw intact beef,Beef,59,Shipping Damage,,"Torn, exposed"
1881861-1,AUSTRALIA,9/17/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1881861-2,AUSTRALIA,9/17/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,64,Shipping Damage,,"Torn, exposed"
1886825-1,NEW ZEALAND,9/17/2021,ME70,CMP Marlborough Limited,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1886812-2,NEW ZEALAND,9/17/2021,ME70,CMP Marlborough Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1923933-1,NEW ZEALAND,9/17/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1918216-1,NEW ZEALAND,9/17/2021,ME132,Prime Range Meats Limited,03C,Raw intact beef,Beef,420,Shipping Damage,,"Torn, exposed"
1847255-1,NEW ZEALAND,9/17/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1898761-1,VIETNAM,9/17/2021,DL810,"Bien Dong Hau Giang Seafood Joint Stock Company (Bien Dong Seafood Co., Ltd.)",03C,Raw intact meat - other,Siluriformes - Other,30,Shipping Damage,,"Torn, exposed"
1931194-2,AUSTRALIA,9/17/2021,249,Teys Australia Southern Pty Ltd,03C,Raw intact beef,Beef,185,Invalid Shipping Mark,,Missing Shipping Mark
1909028-2,AUSTRALIA,9/17/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Shipping Mark,,Shipping Mark Invalid
1779410-1,URUGUAY,9/17/2021,85,Frigorifico Sirsil (Sirsil S.A.),03C,Raw intact beef,Beef,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1923970-1,NEW ZEALAND,9/17/2021,ME127,UBP Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1912121-1,UNITED KINGDOM,9/17/2021,9016,"Foyle Food Group, Foyle Campsie",03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1924065-1,NEW ZEALAND,9/17/2021,ME127,UBP Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1860429-1,BRAZIL,9/17/2021,847,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,350,Other,,Other
1906505-1,HUNGARY,9/17/2021,1360,MCs Vagohid Zrt.,03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1906505-2,HUNGARY,9/17/2021,1360,MCs Vagohid Zrt.,03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1848859-1,NEW ZEALAND,9/17/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,720,Shipping Damage,,"Torn, exposed"
1907361-1,NEW ZEALAND,9/17/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1907361-3,NEW ZEALAND,9/17/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,1074,Invalid Shipping Mark,,Illegible Shipping Marks/ Missing Shipping Mark
1862934-1,NEW ZEALAND,9/17/2021,SPM135,South Pacific Meats Limited,03C,Raw intact beef,Beef,300,Shipping Damage,,"Torn, exposed"
1951328-3,AUSTRALIA,9/17/2021,3085,Australian Meat Group Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1951328-4,AUSTRALIA,9/17/2021,3085,Australian Meat Group Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate/ Invalid Shipping Mark,,Inspection certificate issues/ Shipping Mark Invalid
1897106-1,BRAZIL,9/17/2021,3548,Cooperativa Central Aurora Alimentos,03C,Raw intact pork,Pork,110,Shipping Damage,,"Torn, exposed"
1927350-1,AUSTRALIA,9/17/2021,8,Benale Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,140,Shipping Damage,,"Torn, exposed"
1848915-1,NEW ZEALAND,9/17/2021,ME42,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,540,Shipping Damage,,"Torn, exposed"
1955549-1,MEXICO,9/17/2021,57,"Sonora Agropecuaria, S.A. de C.V.",03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1916614-1,NICARAGUA,9/17/2021,4,Industrial Comercial San Martin S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1916614-2,NICARAGUA,9/17/2021,4,Industrial Comercial San Martin S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1862945-1,NEW ZEALAND,9/17/2021,SPM135,South Pacific Meats Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1916292-1,AUSTRALIA,9/17/2021,399,Teys Australia Biloela Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1916272-2,AUSTRALIA,9/17/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1916298-1,AUSTRALIA,9/17/2021,399,Teys Australia Biloela Pty Ltd,03C,Raw intact beef,Beef,36,Shipping Damage,,"Crushed, blood stained"
1916297-1,AUSTRALIA,9/17/2021,399,Teys Australia Biloela Pty Ltd,03C,Raw intact beef,Beef,960,Shipping Damage,,"Crushed, blood stained/ Torn, exposed"
1954220-1,MEXICO,9/17/2021,467,"Sonora Agropecuaria, S.A. de C.V.",03F,NRTE otherwise processed meat,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1958518-3,CANADA,9/17/2021,68,Deli-Porc Inc.,03C,Raw intact pork,Pork,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1912785-1,URUGUAY,9/18/2021,7,Frigorifico Pul (Pulsa S.A.),03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1957670-1,MEXICO,9/18/2021,105,"Ganaderia Integral S.K., S.A. de C.V.",03C,Raw intact beef,Beef,53,Shipping Damage,,"Torn, exposed"
1950583-1,MEXICO,9/18/2021,645,"Ganaderia y Rastro de la Laguna, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,33,Shipping Damage,,"Crushed, blood stained"
1956742-1,CANADA,9/18/2021,38,"JBS Food Canada, Inc./Aliment JBS Canada, Inc.",03C,Raw intact beef,Beef,41,Other,,Misc. Labeling Issue
1958190-1,CANADA,9/19/2021,484,"Aliments Asta, Inc.",03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1958967-1,CANADA,9/19/2021,391,Conestoga Meat Packers Ltd.,03C,Raw intact pork,Pork,66,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
1962196-6,CANADA,9/19/2021,309,"9178-4710 Quebec, Inc.",03C,Raw intact turkey,Turkey,21,Other,,Misc. Labeling Issue
1959020-1,CANADA,9/19/2021,147C,Olymel S.E.C./Olymel L.P.,03C,Raw intact pork,Pork,3457,Invalid Shipping Mark/ Other,,Misc. Labeling Issue/ Shipping Mark Invalid
1943739-1,CHILE,9/20/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,0,Invalid Inspection Certificate,,Inspection certificate issues
1833428-1,VIETNAM,9/20/2021,DL500,Workshop 3 - VINH HOAN CORP,03C,Raw intact meat - other,Siluriformes - Other,60,Shipping Damage,,"Torn, exposed"
1900986-1,AUSTRALIA,9/20/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,104,Invalid Inspection Certificate/ Shipping Damage,,"Crushed, blood stained/ Inspection certificate issues"
1900986-2,AUSTRALIA,9/20/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1949276-2,UNITED KINGDOM,9/20/2021,2060,Karro Food Ltd,03C,Raw intact pork,Pork,100,Shipping Damage,,"Torn, exposed"
1943188-1,CHILE,9/20/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,80,Invalid Shipping Mark,,Illegible Shipping Marks/ Missing Shipping Mark
1931321-1,ARGENTINA,9/20/2021,2025,Frigorifico Gorina SAIC,03C,Raw intact beef,Beef,51,Shipping Damage,,"Crushed, blood stained"
1962738-2,NEW ZEALAND,9/20/2021,ME17,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Mutton,12,Shipping Damage,,"Torn, exposed"
1931757-1,ARGENTINA,9/20/2021,2062,Compania Bernal S.A.,03C,Raw intact beef,Beef,45,Shipping Damage,,"Crushed, blood stained"
1941950-1,NEW ZEALAND,9/20/2021,ME21,Alliance Group Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1852853-1,NEW ZEALAND,9/20/2021,ME66,CMP Kokiri Limited,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1961731-4,MEXICO,9/20/2021,120,"Sukarne Produccion, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,0,Other,,Misc. Labeling Issue
1911106-1,ISRAEL,9/20/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,40,Invalid Shipping Mark,,Missing Shipping Mark
1911106-4,ISRAEL,9/20/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,20,Invalid Shipping Mark,,Missing Shipping Mark
1911106-5,ISRAEL,9/20/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,60,Invalid Shipping Mark,,Missing Shipping Mark
1911106-7,ISRAEL,9/20/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,20,Invalid Shipping Mark,,Missing Shipping Mark
1909782-1,NEW ZEALAND,9/20/2021,ME26,Silver Fern Farms Limited- Finegand,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Illegible Shipping Marks
1879687-1,AUSTRALIA,9/20/2021,648,Harvey Industries Group Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1909578-1,NEW ZEALAND,9/20/2021,ME34,Silver Fern Farms Limited - Pareora,03C,"Raw intact meat - other (sheep, goat)",Lamb,120,Shipping Damage,,"Torn, exposed"
1910692-1,NEW ZEALAND,9/20/2021,ME104,Te Kuiti Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,1974,Failed Type of Inspection (N),,Defects exceed allowable tolerances
1910692-2,NEW ZEALAND,9/20/2021,ME104,Te Kuiti Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,1319,Failed Type of Inspection (N),,Defects exceed allowable tolerances
1910692-3,NEW ZEALAND,9/20/2021,ME104,Te Kuiti Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,2137,Failed Type of Inspection (N),,Defects exceed allowable tolerances
1910692-4,NEW ZEALAND,9/20/2021,ME104,Te Kuiti Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,1073,Failed Type of Inspection (N),,Defects exceed allowable tolerances
1910692-5,NEW ZEALAND,9/20/2021,ME104,Te Kuiti Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,1961,Failed Type of Inspection (N),,Defects exceed allowable tolerances
1910692-6,NEW ZEALAND,9/20/2021,ME104,Te Kuiti Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,3799,Failed Type of Inspection (N),,Defects exceed allowable tolerances
1910692-7,NEW ZEALAND,9/20/2021,ME104,Te Kuiti Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,1069,Failed Type of Inspection (N),,Defects exceed allowable tolerances
1848946-1,NEW ZEALAND,9/20/2021,ME47,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,420,Shipping Damage,,"Torn, exposed"
1818495-1,NEW ZEALAND,9/20/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,360,Shipping Damage,,"Torn, exposed"
1873127-1,NEW ZEALAND,9/20/2021,ME70,CMP Marlborough Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1927697-1,NEW ZEALAND,9/20/2021,ME134,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Illegible Shipping Marks
1927697-2,NEW ZEALAND,9/20/2021,ME134,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Illegible Shipping Marks
1941640-1,NEW ZEALAND,9/20/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1843178-1,NEW ZEALAND,9/20/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,300,Shipping Damage,,"Torn, exposed"
1905122-8,AUSTRALIA,9/20/2021,2309,Fletcher International Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1905122-11,AUSTRALIA,9/20/2021,2309,Fletcher International Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1905122-12,AUSTRALIA,9/20/2021,2309,Fletcher International Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Illegible Shipping Marks/ Missing Shipping Mark
1941639-1,NEW ZEALAND,9/20/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1928962-1,NEW ZEALAND,9/20/2021,ME104,Te Kuiti Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1946328-1,AUSTRALIA,9/20/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,48,Shipping Damage,,"Torn, exposed"
1959904-4,MEXICO,9/20/2021,120,"Sukarne Produccion, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,33,Compromised Vacuum Package,,Torn Vacuum Package
1902231-1,NEW ZEALAND,9/21/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1804869-1,ITALY,9/21/2021,U8681,Roncadin S.P.A.,03H,NRTE otherwise processed meat,Pork,254,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Illegible Shipping Marks
1916874-9,NEW ZEALAND,9/21/2021,ME118,Crusader Meats New Zealand Limited,03C,"Raw intact meat - other (sheep, goat)",Mutton,36,Shipping Damage,,"Torn, exposed"
1961820-2,AUSTRALIA,9/21/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1961820-3,AUSTRALIA,9/21/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1905108-1,NETHERLANDS,9/21/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,100,Shipping Damage,,"Torn, exposed"
1900698-2,BRAZIL,9/21/2021,615,JBS S/A,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Shipping Mark Invalid
1953475-1,NEW ZEALAND,9/21/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1923402-1,NEW ZEALAND,9/21/2021,ME34,Silver Fern Farms Limited - Pareora,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Illegible Shipping Marks
1908663-2,NEW ZEALAND,9/21/2021,ME40,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,20,Invalid Shipping Mark,,Missing Shipping Mark
1902573-1,URUGUAY,9/21/2021,8,Frigorifico Canelones S.A.,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1902573-2,URUGUAY,9/21/2021,8,Frigorifico Canelones S.A.,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1888502-1,BRAZIL,9/21/2021,1940,Minerva S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1888503-1,BRAZIL,9/21/2021,1940,Minerva S.A.,03C,Raw intact beef,Beef,300,Invalid Shipping Mark,,Missing Shipping Mark
1833427-1,VIETNAM,9/21/2021,DL500,Workshop 3 - VINH HOAN CORP,03C,Raw intact meat - other,Siluriformes - Other,30,Shipping Damage,,"Torn, exposed"
1966625-1,NEW ZEALAND,9/21/2021,ME127,UBP Limited,03C,Raw intact beef,Beef,120,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1765631-1,BRAZIL,9/21/2021,4400,JBS S/A,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1938055-1,AUSTRALIA,9/21/2021,648,Harvey Industries Group Pty Ltd,03C,Raw intact beef,Beef,180,Invalid Shipping Mark,,Missing Shipping Mark
1929068-3,NEW ZEALAND,9/21/2021,ME17,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Mutton,41,Shipping Damage,,"Torn, exposed"
1958966-1,CANADA,9/21/2021,714,Canards Du Lac Brome Ltee.,03C,"Raw intact poultry - other (ducks, geese, squab)",Duck,18879,Failed Type of Inspection (N),,Defects exceed allowable tolerances
1958966-2,CANADA,9/21/2021,714,Canards Du Lac Brome Ltee.,03C,"Raw intact poultry - other (ducks, geese, squab)",Duck,19059,Failed Type of Inspection (N),,Defects exceed allowable tolerances
1964524-1,MEXICO,9/21/2021,431,"Sukarne Agroindustrial, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,127,Compromised Vacuum Package,,Leaking Vacuum Package
1961370-3,CANADA,9/21/2021,422,Canyon Creek Food Company Ltd.,03G,RTE fully-cooked meat,Pork,6,Other,,Misc. Labeling Issue
1894741-1,AUSTRALIA,9/21/2021,180,Midfield Meat International Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,240,Shipping Damage,,"Torn, exposed"
1894741-2,AUSTRALIA,9/21/2021,180,Midfield Meat International Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,120,Shipping Damage,,"Torn, exposed"
1967117-4,AUSTRALIA,9/21/2021,612,Wodonga Rendering Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Goat,46,Shipping Damage,,"Torn, exposed"
1854140-1,NEW ZEALAND,9/21/2021,ME125,Silver Fern Farms Limited - Dargaville,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1854139-1,NEW ZEALAND,9/21/2021,ME84,Silver Fern Farms Limited - Te Aroha,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1847261-1,NEW ZEALAND,9/21/2021,ME34,Silver Fern Farms Limited - Pareora,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1903725-3,NEW ZEALAND,9/21/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,28,Invalid Shipping Mark,,Missing Shipping Mark
1848893-1,NEW ZEALAND,9/21/2021,SPM135,South Pacific Meats Limited,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1848945-1,NEW ZEALAND,9/21/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,420,Shipping Damage,,"Torn, exposed"
1892029-2,NEW ZEALAND,9/21/2021,ME32,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,105,Shipping Damage,,"Torn, exposed"
1892029-3,NEW ZEALAND,9/21/2021,ME47,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,53,Shipping Damage,,"Torn, exposed"
1818490-1,NEW ZEALAND,9/21/2021,ME9,Silver Fern Farms Limited - Hawera,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Illegible Shipping Marks
1937184-1,NEW ZEALAND,9/21/2021,ME50,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,240,Shipping Damage,,"Torn, exposed"
1770811-1,AUSTRALIA,9/21/2021,46,Wagstaff Cranbourne Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,536,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Illegible Shipping Marks/ Missing Shipping Mark
1770811-2,AUSTRALIA,9/21/2021,46,Wagstaff Cranbourne Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,1069,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Illegible Shipping Marks/ Missing Shipping Mark
1916228-1,AUSTRALIA,9/21/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,80,Shipping Damage,,"Crushed, blood stained"
1916228-2,AUSTRALIA,9/21/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,43,Shipping Damage,,"Crushed, blood stained"
1943947-4,AUSTRALIA,9/21/2021,282,Australian Lamb (Colac) Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,31,Shipping Damage,,"Crushed, blood stained"
1941949-1,NEW ZEALAND,9/21/2021,ME18,Alliance Group Limited,03C,Raw intact beef,Beef,180,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1925734-1,CHILE,9/21/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,160,Invalid Shipping Mark,,Missing Shipping Mark
1933605-1,NEW ZEALAND,9/21/2021,ME26,Silver Fern Farms Limited- Finegand,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1933605-3,NEW ZEALAND,9/21/2021,ME26,Silver Fern Farms Limited- Finegand,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1891676-1,UNITED KINGDOM,9/21/2021,9052,Karro Food Group,03C,Raw intact pork,Pork,150,Shipping Damage,,"Torn, exposed"
1911960-4,AUSTRALIA,9/21/2021,39,HJ Heinz Company Australia Ltd,03D,"Thermally processed, commercially sterile",Beef,121,Invalid Shipping Mark,,Missing Shipping Mark
1967952-1,NEW ZEALAND,9/21/2021,ME127,UBP Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1967953-1,NEW ZEALAND,9/21/2021,ME47,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,420,Shipping Damage,,"Torn, exposed"
1960498-1,NEW ZEALAND,9/21/2021,ME103,Auckland Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,115,Shipping Damage,,"Crushed, blood stained"
1967568-3,MEXICO,9/21/2021,437,"Frigorifica Contreras, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,10,Compromised Vacuum Package,,Torn Vacuum Package
1964822-1,MEXICO,9/21/2021,99,"Fapsa y Asociados, S.A. de C.V.",03C,Raw intact beef,Beef,100,Compromised Vacuum Package,,Leaking Vacuum Package
1899977-2,AUSTRALIA,9/22/2021,180,Midfield Meat International Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1902234-1,NEW ZEALAND,9/22/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Veal,60,Shipping Damage,,"Torn, exposed"
1929870-1,ISRAEL,9/22/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,80,Invalid Shipping Mark,,Missing Shipping Mark
