EstNumber,Company,Street,City,State,Zip,Phone,GrantDate,Activities,DBAs
M46323,Mastrorocco's Meats,133 East 1st Avenue,Derry,PA,15627,(724) 454-1165,06/12/2018,Meat Processing,
M46324 + P46324,"Morning Star Pastries, LLC",188 Tanners Rd,Fort Plain,NY,13339,(518) 775-0471,01/28/2021,"Meat Processing, Poultry Processing",
M46327 + P46327,"TH Kitchens, LLP",3121 Produce Row,Houston,TX,77023,(214) 228-5806,12/10/2018,"Meat Processing, Poultry Processing",Texas Harvest
M46334,"Plymouth Meats, LLC",6 Allread Drive,Terryville,CT,6786,(860) 582-1500,03/19/2019,"Meat Processing, Meat Slaughter",
M46336 + P46336 + V46336,"Pioneer Meats, Inc.",31 Pioneer Trail,Big Timber,MT,59011,(406) 932-4555,11/04/2019,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Beef of Montana; Meats of Montana
M46337 + P46337,Lepe's Meats Inc.,3659 Standish Ave.,Santa Rosa,CA,95407,(707) 585-6388,03/28/2018,"Meat Processing, Poultry Processing",
M46339 + P46339 + V46339,"Tejas Premium Meats, LLC",3555 FM 67,Itasca,TX,76055,(254) 687-9710,12/30/2019,"Certification - Export, Meat Processing, Meat Slaughter",
M46340 + P46340 + V46340,The Meat Market,700 Lincoln Avenue,Baraboo,WI,53913,(608) 356-5574,02/28/2018,"Identification - Meat, Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M46341 + P46341,HPP Food Services,1130 West C St.,Wilmington,CA,90744,(310) 830-8020,,"Meat Processing, Poultry Processing",
M46344 + P46344,JBS USA,4780 Alliance Drive,Mason,OH,45040,(901) 888-1242,05/17/2021,"Meat Processing, Poultry Processing",Empire Packing
M46347A + P46347A,"Decko Products, Inc.",2105 Superior St.,Sandusky,OH,44870,(419) 626-5757,08/08/2021,"Meat Processing, Poultry Processing",
M46349 + P46349,"Cordele Cold Storage & Food Processing, LLC",201 N.Harris Street,Cordele,GA,31015,(229) 276-0077,07/30/2021,"Meat Processing, Poultry Processing",
M46351,Meatworks,287 State Road,Westport,MA,2790,(774) 319-5616,07/06/2020,"Meat Processing, Meat Slaughter",The Livestock Institute of Southern New England
M46352,Kalaheo Jerky Co. LLC,1111 Dillingham Blvd,Honolulu,HI,96817,(808) 651-1881,03/28/2018,Meat Processing,Kalaheo Jerky Co.
M46353,Antonio Mozzarella Factory,631 Frelinghuysen Ave,Newark,NJ,7114,(973) 353-9411,03/28/2018,Meat Processing,
M46354,"Cruse Meat Processing, LLC.",4501 Rimer Road,Concord,NC,28025,(704) 786-8616,04/05/2018,"Meat Processing, Meat Slaughter",
M46360 + P46360,Connie's Pizza,2373 S. Archer Ave.,Chicago,IL,60616,(312) 326-3443,12/03/2019,"Meat Processing, Poultry Processing","Giacobbino's Cucina Fresca, LLC"
M46365 + P46365,"HB Foods, LLC",3921 100th St SW,Lakewood,WA,98499,(206) 779-7400,05/03/2018,"Meat Processing, Poultry Processing",
M46367 + P46367 + V46367,"Raybern Foods, LLC",184 Bryan Blvd.,Shannon,MS,38868,(662) 269-6500,10/26/2021,"AMS RTE Canada EV Program, Certification - Export, Food Inspection, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing",
M46368 + P46368,George Nottoli & Son,7652 W. Belmont,Chicago,IL,60634,(773) 589-1010,03/24/2021,"Meat Processing, Poultry Processing",The Original Nottoli & Son
M46370 + P46370 + V46370,Porthos Packaging LLC,600 Green Lane,Union,NJ,7083,(973) 344-0565,11/22/2019,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat, Voluntary Slaughter - Rabbit",
M46373 + P46373 + G46373,"Cargill Kitchens Solutions, Inc.",20021 176th Street NW,Big Lake,MN,55309,(763) 262-5600,10/08/2020,"Egg Product, Meat Processing, Poultry Processing",
M4638 + P4638,Warsaw Packing Co.,3865 Miller Rd,Warsaw,NY,14569,(585) 786-2820,03/15/2011,"Meat Processing, Meat Slaughter",
M46381 + P46381,"The Vons Companies, Inc.",14950 Meridian Pkwy.,March Air Reserve Base,CA,92518,(951) 947-4010,,"Meat Processing, Poultry Processing",
M46384,"LaRuche Imports, Inc.",9314 Summerbell Lane,Houston,TX,77074,(713) 995-9090,07/11/2018,Meat Processing,
M46387 + P46387,JNP Hawaii LLC,274 Puuhale Road,Honolulu,HI,96819,(808) 845-4232,02/22/2019,"Meat Processing, Poultry Processing",
M46389,"My Favorite Cat, LLC",1308 S.Sandford Ave.,Sandford,FL,32771,(407) 878-1976,07/14/2020,"Meat Processing, Meat Slaughter",
M46391,"Bills Market, Inc.",2095 Route 336,Romulus,NY,14531,(315) 549-8252,06/28/2018,"Meat Processing, Meat Slaughter",Finger Lakes Meat Processing
M46394 + P46394 + V46394,Wayne Farms LLC,114 Plugs Drive,Decatur,AL,35601,(256) 552-4864,07/13/2021,"Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat, Voluntary Slaughter - Pou",Wayne Farms Customer Innovation Center
M46396 + P46396,NutriFresh HPP Services LLC,145 Talmadge Road,Edison,NJ,8817,(732) 248-1925,07/10/2018,"Meat Processing, Poultry Processing",
M46397 + P46397,"Bakkavor Foods USA, Inc - Charlotte Breads",10220 Western Ridge Road,Charlotte,NC,28273,(310) 739-3655,07/10/2018,"Meat Processing, Poultry Processing","Bakkavor Foods USA, Inc."
M4640 + P4640,Davis Bros. Inc.,4521 County Route 4,Oswego,NY,13126,(315) 343-6933,03/20/2018,"Meat Processing, Poultry Processing",
M46407,"Open Range Beef, LLC",120 West Highway 20,Gordon,NE,69343,(308) 282-1125,09/06/2017,"Meat Processing, Meat Slaughter",
M46408,Crystal Springs Meat Co.,2922 Altamont Street,Klamath Falls,OR,97603,(541) 591-2921,09/17/2013,Meat Processing,
M46410 + P46410,Il Porcellino Wholesale LLC,216 Cody Lane,Basalt,CO,81621,(970) 718-8106,02/28/2018,"Meat Processing, Poultry Processing",
M46411 + P46411,Pacific Fresh Premium Meat,1199 Dock Street,Tacoma,WA,98402,(253) 627-2158,09/27/2013,"Meat Processing, Poultry Processing",
M46412 + P46412,"Flying Food Fresh Food Solutions, LLC",14155 East 42nd Avenue,Denver,CO,80239,(303) 386-8870,09/06/2017,"Meat Processing, Poultry Processing",
M46419 + V46419,Fitch Ranch Artisan Meat Company,383 East 1st Street,Craig,CO,81625,(970) 824-3855,02/19/2014,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M46421,Jack Mountain Meats LLC,200 E. Washington Ave,Burlington,WA,98233,(360) 873-8672,06/26/2018,Meat Processing,Acme Valley Foods LLC
M46427 + P46427,"Rudy's Meat Provisioners, LLC",5834 NE Glisan St.,Portland,OR,97213,(360) 773-1674,02/10/2015,"Meat Processing, Poultry Processing",
M46432 + P46432,KD Latin Food Inc,7339 NW 79 Terrace,Medley,FL,33166,(786) 426-7967,11/09/2018,"Meat Processing, Poultry Processing",
M46433,Ida Meats LLC,1114 Williams Way,Rupert,ID,83350,(208) 431-4957,05/24/2018,"Meat Processing, Meat Slaughter",
M46434 + P46434 + V46434,Wahoo Locker LLC,205 W. 5th St.,Wahoo,NE,68066,(402) 443-3104,05/07/2015,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat, Voluntary Slaughter - Rabbit",
M46435 + P46435,First Street Cafe,116 W. First Street,Phoenix,OR,97535,(541) 535-6078,09/03/2014,"Meat Processing, Poultry Processing",First Street Cafe
M46436,Mountain Fresh Foods LLC,18 Wells Connector Road,Murphy,NC,28906,(404) 518-9740,09/22/2020,Meat Processing,
M46437 + P46437,"Najla's Speciality Foods, Inc.",8007 Vinecrest Ave,Louisville,KY,40222,(502) 412-4420,06/24/2021,"Meat Processing, Poultry Processing",
M46438 + P46438,Capital Management HPP Inc.,205 Agricola Road,Bartow,FL,33830,800484053,10/28/2019,"Meat Processing, Poultry Processing",
M46442 + P46442,Tejas Meat Processors,4614 Perry St.,Houston,TX,77021,(281) 888-4932,05/28/2019,"Meat Processing, Poultry Processing",
M46445 + P46445,"Bakkavor Foods USA, Inc. - Texas",4702 Goldfield,San Antonio,TX,78218,(210) 267-5264,09/04/2018,"Meat Processing, Poultry Processing","Bakkavor Foods USA, Inc.; Two Chefs On A Roll, Inc."
M46448 + P46448,Forum Meat Company,105 Avenue F,Ennis,TX,75119,(214) 935-3380,09/21/2018,"Meat Processing, Poultry Processing",
M46449,Doyle's Fish Market,3915 Toms Creek Rd,Linden,TN,37096,(931) 593-2198,09/21/2018,"Meat Processing, Meat Slaughter",
M46456 + P46456,MawMaw's Chicken Pies,652 Gralin Street,Kernersville,NC,27284,(336) 416-2334,12/14/2020,"Meat Processing, Poultry Processing",
M46457,Zapata Carne Seca LLC,613 E. FM 496,Zapata,TX,78076,(956) 765-5111,04/03/2020,Meat Processing,
M46461 + P46461,Star Plus Inc.,3925 Miller Park Dr.,Garland,TX,75042,(214) 734-9928,10/25/2018,"Meat Processing, Poultry Processing",
M46462,LINKO FOOD LLC,"1443 CONCORD ST, S.",SOUTH SAINT PAUL,MN,55075,(651) 492-1686,10/24/2019,Meat Processing,
M46463 + P46463,SavorCrafters LLC,Road 642 km 11.1 Barrio Florida Adentro,Florida,PR,650,(787) 505-3952,02/24/2021,"Meat Processing, Poultry Processing",
M46469 + P46469,Capitol Concessions LLC,1030 Hot Wells,San Antonio,TX,78223,(210) 222-1489,01/13/2020,"Meat Processing, Poultry Processing",The Sandwich Factory
M46471 + P46471,"Tubito's Pizza, LLC",301 NE 36th Street,Oakland Park,FL,33334,(954) 537-4992,04/18/2019,"Meat Processing, Poultry Processing",Two Bakers
M46475 + P46475 + V46475,Kurzweils Country Meats,28612 S State Rt. T,Garden City,MO,64747,(816) 862-8463,01/23/2020,"Meat Processing, Poultry Processing",
M46480 + V46480,UTE Plaza Supermarket,7750 US-40,Fort Duchesne,UT,84026,(435) 722-2382,10/31/2019,"Food Inspection, Identification - Meat, Meat Processing",
M46481 + P46481,"Integra Foods, LLC",476 Industrial Drive,Bladenboro,NC,28320,(910) 231-5316,12/23/2021,"Meat Processing, Poultry Processing",
M46483 + P46483 + V46483,Stormberg Foods LLC,1002B Sunburst Drive,Goldsboro,NC,27534,(252) 340-2434,02/03/2022,"Certification - Export, Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M46486 + P46486,Chicken Bites Inc.,2405 S. Hiawassee Rd,Orlando,FL,32835,(407) 985-4285,11/02/2018,"Meat Processing, Poultry Processing",Chicken Bites
M46491 + P46491,"WholeStone Farms Cooperative, Inc.",900 South Platte Ave.,Fremont,NE,68025,(507) 825-4211,09/20/2018,"Meat Processing, Meat Slaughter",
M46494 + P46494,"Magnolia Food Co., LLC",78 Rebeschi Drive,North Haven,CT,6473,(203) 249-8888,06/26/2019,"Meat Processing, Poultry Processing",
M46498 + P46498,Westminster Meat Packing Inc.,52 Seafood Lane,Westminster,VT,5158,(617) 866-1156,07/19/2019,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M46499 + P46499,East West LLC,8706 Old Ardmore Road,Landover,MD,20785,(202) 547-3101,02/13/2020,"Meat Processing, Poultry Processing",Caribbean Crescent
M465 + P465,MG Foods,1907 Gateway Blvd.,Charlotte,NC,28208,(704) 399-6460,03/01/2019,"Meat Processing, Poultry Processing",
M46507 + P46507 + V46507,US Cold Storage,1275 Medline Place,McDonough,GA,30253,(678) 610-5098,09/27/2021,"Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry",
M4651 + P4651,La Frieda Meats Co.,3701 Tonnell Avenue,North Bergen,NJ,7047,(212) 929-2420,11/17/2014,"Meat Processing, Poultry Processing",La Frieda Wholesale; Pat La Frieda Meats
M46515 + P46515,"Vicky Enterprises, Inc.",7230 NW 77 Street,Medley,FL,33166,(786) 217-3063,05/06/2020,"Meat Processing, Poultry Processing",
M46516 + P46516,Stryker Farm LLC,3045 Mountain Road,Saylorsburg,PA,18353,(570) 269-2995,01/03/2019,"Meat Processing, Poultry Processing",Slate Belt Butchery
M46517,Gabriele Properties Holding LLC,255 Mohawk Avenue,Scotia,NY,12302,(518) 355-2230,10/24/2019,Meat Processing,Gabriel's Supermarket
M4651A + P4651A,Pat LaFrieda Meats Inc.,2020 40 Pat LaFrieda Way,North Bergen,NJ,7047,(201) 537-8200,09/10/2020,"Meat Processing, Poultry Processing",
M4652 + P4652,George E. Assadourian Inc.,355 Anderson Avenue,Fairview,NJ,7022,(201) 941-5662,04/30/2019,Meat Processing,Middle East Lahmajun
M46521 + P46521,Barrett's Smokehouse,9942 Oakland Dr.,Portage,MI,49024,(269) 323-3700,09/18/2019,"Meat Processing, Poultry Processing",
M46522 + P46522,Del Real Foods,216 NE 12th Street,Moore,OK,73160,(405) 300-6780,02/07/2019,"Meat Processing, Poultry Processing",
M46523 + P46523,"NCF Foods, LLC",1125 Comstock St,Marne,MI,49435,(616) 248-0603,04/20/2021,"Meat Processing, Poultry Processing",
M46527 + P46527,"Artisan Kitchens, LLC",2060 Alexander Street,Newberry,SC,29108,(803) 321-1933,04/20/2020,"Meat Processing, Poultry Processing",
M4653 + P4653,A.A. Rubashkin & Sons,4310 14th Ave,Brooklyn,NY,11219,(718) 436-5511,03/24/2021,"Meat Processing, Poultry Processing",
M46530 + P46530,Voung Dim Sum Corporation,3620 Clearview Parkway,Doraville,GA,30340,(678) 677-7611,10/13/2020,Meat Processing,
M46535,Blanche Farms Specialty Cured Meat,5959 Highway 41,Macon,GA,31210,(706) 455-5943,03/09/2021,Meat Processing,
M46536,Foodz Depot Inc,32845 Manor Park Dr.,Garden City,MI,48127,(313) 888-0761,01/14/2021,Meat Processing,
M46537,Felito's Finest LLC,627 FM 2844,Santa Elena,TX,78591,(956) 481-3478,01/28/2022,Meat Processing,2F Akaushi Beef
M46538 + P46538 + V46538,"Family Traditions Meat Company, Inc.",405 Sherman Ave,Ackley,IA,50601,(641) 847-0031,03/19/2020,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",
M4653A + P4653A + V4653A,"Agri Star Meat and Poultry, LLC",220 West Street,Postville,IA,52162,(563) 864-7811,01/16/2013,"Certification - Export, Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",Aaron's Beef; Agriprocessors; Iowa Best Beef; Shor Harbor
M46541 + V46541,"Stryve Foods, LLC",1006 E. Main St.,Madill,OK,73446,(580) 221-2051,04/27/2020,"Certification - Export, Meat Processing",Stryve Biltong
M46544 + P46544 + V46544,E.A. Sween Company,435 Annandale Blvd,Annandale,MN,55302,(952) 937-9440,02/20/2019,"Food Inspection, Identification - Meat, Identification - Poultry, Meat Processing, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Poultry Processing",Deli Express
M46550 + P46550,"International In-Flight Catering Company, Ltd.",324 Rodgers Blvd.,Honolulu,HI,96819,(808) 836-2431,11/15/2018,"Meat Processing, Poultry Processing",
M46552,Reel Cajun Foods,930 Joplin Ave,Baton Rouge,LA,70802,(225) 448-5613,01/27/2021,Meat Processing,
M46553 + P46553 + V46553,"Erie Bone Broth, LLC",2203 Superior Ave.,Cleveland,OH,44116,(440) 623-9999,06/17/2020,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",
M46554 + P46554,AEE Inc. DBA Emory's Processing,3006 State Hwy FF,Jackson,MO,63755,(573) 243-3107,02/18/2021,"Meat Processing, Meat Slaughter",
M46560,"The Prosciutto Company, LLC",25778 US Highway 19 Noth,Clearwater,FL,33763,(727) 723-4866,09/02/2020,"Meat Processing, Meat Slaughter",
M46563 + P46563,Madina Traders Inc.,181 Shore Court,Burr Ridge,IL,60527,(773) 993-6494,11/30/2020,"Meat Processing, Poultry Processing",Canaan Foods; Madina Foods; Qasri Hills; Tihama Hills
M46564,Wayne's Country Hams,223 Ingram Road,Statesville,NC,28625,(704) 437-3558,12/21/2018,Meat Processing,
M46569 + P46569,Tastepoint Inc.,10801 Decatur Road,Philadelphia,PA,19154,(215) 632-3100,01/31/2019,"Meat Processing, Poultry Processing",
M46570,Pasifika Povi LLC,8537 W. Magna Main St.,Magna,UT,84044,(801) 250-5103,01/04/2019,Meat Processing,
M46575,"Slab Factory of Plano, LLC",801 18th Street,Plano,TX,75074,(972) 881-1133,03/26/2019,Meat Processing,The Texas Slab Factory
M46576 + P46576,Alexis Wholesale Distribution,1521 W. Roscrans Avenu,Gardena,CA,90249,(310) 352-6403,04/18/2019,"Meat Processing, Poultry Processing",
M46578 + P46578,Ram Country Meats,350 West Pitkin Street,Fort Collins,CO,80523,(970) 491-7093,01/16/2019,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M46579 + P46579,Pelmeni Princess,1219 S. Park Hill Rd.,Tahlequah,OK,74464,(918) 822-4176,06/03/2019,Meat Processing,
M4657A + P4657A,Sun Ming Jan Inc.,145 Noll Street,Brooklyn,NY,11206,(718) 418-8221,06/19/2019,"Meat Processing, Poultry Processing",
M46580,"Double ""D"" Ranch",39-3324 Old Mamalahoa Hwy.,Ookala,HI,96774,(808) 937-3211,01/23/2019,"Meat Processing, Meat Slaughter",
M46581 + P46581,Richard's Cajun Foods Corp,1186 E. Ebey,Church Point,LA,70525,(337) 684-6309,06/04/2021,"Meat Processing, Poultry Processing",
M46583 + P46583,"McLane Classic Foods, L.P.",3165 S. Burleson Blvd.,Burleson,TX,76028,(817) 914-2213,03/04/2019,"Meat Processing, Poultry Processing",
M46584,The Lamb Co-operative Inc.,3 Gateway Boulevard,Pedricktown,NJ,8067,(856) 478-6300,01/30/2019,Meat Processing,
M46585 + P46585,Leader Meat Packing Corp.,254 Sykesville Road,Chesterfield,NJ,8515,(717) 823-3998,01/30/2019,"Meat Processing, Poultry Processing",
M46586,Gambino's Italian Eatery,2442 Rt. 38,Cherry Hill,NJ,8002,(856) 333-6427,01/30/2019,Meat Processing,
M46587,East Coast 1st Venture Inc.,20508 Blackjack Rd,Culpeper,VA,22701,(703) 655-0667,02/01/2019,Meat Slaughter,Mecca Halal Processing Inc.
M46588,The Jambalaya Shoppe Smokehouse,1707 E. HWY 30,Gonzales,LA,70737,(225) 647-7773,,Meat Processing,
M46591 + P46591,Five Star Food Service,1853 W North Main Street,Lafayette,GA,30728,(706) 450-6702,12/26/2019,Meat Processing,
M46593,JustMeat Inc.,220-B Cedar Lodge Road,Thomasvile,NC,27360,(416) 358-5467,05/13/2020,Meat Processing,
M46594 + P46594,"DTF Prep Seattle, LLC",4025 1st Avenue South,Seattle,WA,98134,(206) 953-0770,02/05/2019,"Meat Processing, Poultry Processing",
M46602,McNeil Canyon Meat Inc,53775 E End Rd,Homer,AK,99603,(907) 235-5456,02/13/2019,Meat Processing,
M46603 + P46603,"Blue Coach Foods, LLC",2075 Memorial Park Drive,Gainesville,GA,30504,(770) 534-4414,02/19/2019,"Meat Processing, Poultry Processing",
M46606 + P46606,Pineland Farms Natural Meats,92 Creamery Lane,New Gloucester,ME,4260,(207) 688-4808,02/20/2019,"Meat Processing, Poultry Processing",
M46607 + P46607,Fresh Express Incorporated,1361 Southern Road,Morrow,GA,30260,(678) 422-2150,12/26/2019,Meat Processing,
M46612 + P46612 + G46612,Midwest Kitchens,6950 51st  Street,Kenosha,WI,53144,(773) 406-8784,04/01/2019,"Egg Product, Meat Processing, Poultry Processing",
M46613 + P46613,Our House Soup Productions,3411 North Fayson Road,Moretown,VT,5660,(802) 225-5902,02/09/2021,"Meat Processing, Poultry Processing",Spice of Life Catering
M46616 + P46616,Tudo Bom LLC,309 Walnut St.,Elizabeth,NJ,7201,(908) 576-7000,03/01/2019,"Meat Processing, Poultry Processing",
M46617 + P46617,Milestones Foods,5366 Dixie Industrial Drive,Lake City,GA,30260,(678) 733-3738,10/13/2020,"Meat Processing, Poultry Processing",
M46619 + V46619,Ke'Fruits llc,"PR-887, Carolina Commercial Park",Carolina,PR,985,(787) 306-2504,12/08/2021,"Certification - Export, Meat Processing",CaboRojo Steaks; Finca Pastoreo; Fresh mart; Island Beef; Mi Gente; muu; Puerto Steaks
M4662 + P4662 + V4662,Piatkowski Riteway Meats Inc.,3555 Witmer Road,Niagara Falls,NY,14305,(716) 298-9865,09/15/2016,"Certification - Export, Meat Processing, Poultry Processing",
M46620 + P46620,"Dora's Naturals, Inc",20 Knickerbocker Road,Moonachie,NJ,7074,(201) 229-0500,11/10/2020,"Meat Processing, Poultry Processing",
M46622,"920 Fries Frozen Foods, LLC",846 S. Gray Street,Millen,GA,30442,(478) 982-5715,05/28/2019,"Meat Processing, Meat Slaughter",
M46624 + P46624,Kibberia Foods LLC,22 Shelter Rock Lane,Danbury,CT,6810,(475) 329-5922,06/27/2019,"Meat Processing, Poultry Processing",
M46625 + P46625,Los Mejores Tamales Production Corp.,1001 E 28th Street,Hialeah,FL,33013,(786) 991-5979,05/11/2020,"Meat Processing, Poultry Processing",
M46633,The Steel Buffalo Butchery,1500 Harmony Church Road,Dawsonville,GA,30534,(706) 318-0226,04/06/2020,"Meat Processing, Meat Slaughter",
M46635,"Quality Meat, Inc.",485 N. 3rd E.,Aberdeen,ID,83210,(208) 397-6328,03/14/2019,"Meat Processing, Meat Slaughter",
M46637 + P46637,Catskill Food Company LLC,53 Main Street,Delhi,NY,13753,(607) 746-8886,06/03/2019,"Meat Processing, Poultry Processing",
M46638 + P46638,Taylor Farms New England Inc.,320 Commerce Paru Road,North Kingstown,RI,2852,(831) 601-5198,03/03/2020,"Meat Processing, Poultry Processing",
M46644 + P46644,Yellow Bowler Hat LLC,407 Rayford Rd. #1,Spring,TX,77386,(949) 463-1825,04/09/2019,"Meat Processing, Poultry Processing",Crispin & Sons; the handmade pie co.; the handmade pie company
M46648 + P46648,Amish Country Bakehouse,457 E. North Street,Carlisle,PA,17013,(717) 906-3111,04/21/2020,"Meat Processing, Poultry Processing",
M4665 + P4665,Jim's Park & Shop LLC,1014 Front Street,Olean,NY,14760,(716) 372-0870,07/09/2019,"Meat Processing, Poultry Processing",
M46654,Rovira Biscuit Corporation,Mercedita Industrial Pasrk Lote F,Ponce,PR,717,(787) 651-2482,08/24/2020,Meat Processing,Eric
M46655 + P46655,"Bama Companies, Inc.",2745 E 11th Street,Tulsa,OK,74104,(818) 732-2000,07/29/2019,"Meat Processing, Poultry Processing",
M46656,Attala Frozen Foods,515 West Jefferson Street,Kosciusko,MS,39090,(662) 289-2561,04/03/2019,"Meat Processing, Meat Slaughter",
M46658 + P46658,Central Protein Provisioners,1051 Garrett Parkway,Lewisburg,TN,37091,(931) 288-8050,12/22/2020,"Meat Processing, Poultry Processing",
M46661 + P46661 + V46661,Miesfeld's Market,4811 Venture Drive,Sheboygan,WI,53083,(920) 565-6328,02/04/2022,"Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat",
M46662 + P46662,"Great Lake's Cheese Company, Inc. - Wausau, WI",9912 Innovaton Way,Wausau,WI,54401,(440) 834-4117,03/29/2021,"Meat Processing, Poultry Processing",
M46664 + P46664,Mr. B's Pizza,113 Riverview Drive,Waucoma,IA,52171,(319) 404-8606,12/05/2019,"Meat Processing, Poultry Processing",
M46666 + P46666,Maryland Packaging LTD,3610 Commerce Drive,Halethorpe,MD,21227,(410) 540-9700,04/08/2019,"Meat Processing, Poultry Processing",
M46668,Vermont Salumi,159 Main Street,Barre,VT,5641,(802) 454-8300,07/15/2019,Meat Processing,
M46669,Elk River Custom Meats,2464 Downhill Dr,Steamboat Springs,CO,80487,(970) 846-7642,04/11/2019,Meat Processing,
M46673 + P46673,Triple Sticks Foods,9200 West Main Street,Belleville,IL,62223,(800) 468-3354,03/10/2020,"Meat Processing, Poultry Processing",
M46674 + P46674,Wesco Commissary,6524 Schamber Drive,Norton Shores,MI,49444,(231) 719-4423,09/27/2021,"Meat Processing, Poultry Processing",
M46679 + P46679,United Halal LLC,1002 N. 12th Street Harrisburg,Harrisburg,PA,17103,(717) 992-0077,12/22/2021,"Meat Processing, Poultry Processing",
M46682 + P46682,"Whaaat? The Snack Company of Virginia Beach, LLC",2608 Horse Pasture Road,Virginia Beach,VA,23453,(757) 598-4303,08/30/2021,"Meat Processing, Poultry Processing",The Snack Company; Whaaat Co.; Whaaat? The Snack Company
M46683 + P46683,"Rico Pastel, LLC",Carretera 725 km 2.6 interior Barrio Llanos,Aibonito,PR,705,(787) 636-1926,01/29/2021,"Meat Processing, Poultry Processing",Rico Pastel LLC
M46684 + P46684,Yushang Food Inc.,185 South Port Road,Spartanburg,SC,29316,(510) 735-6999,10/27/2021,"Meat Processing, Poultry Processing",
M46689 + P46689,Custom Cut Solutions,102 Crow St.,Albertville,AL,35950,(256) 660-2369,11/27/2020,"Meat Processing, Poultry Processing",
M46690 + P46690,Market House Meats,1595 57th Street West,Northfield,MN,55057,(612) 339-7720,08/07/2019,"Meat Processing, Poultry Processing",Market House Meats; The Fish Guys
M46691 + P46691,Traditional Snacks,"12905 W Okeechobee Road, # 5",Hialeah Gardens,FL,33018,(786) 339-3227,06/24/2020,"Meat Processing, Poultry Processing",
M46692,Trans-Packers Services Corp.,4100 New Brunswick Ave,Piscataway,NJ,8854,(732) 529-6783,05/06/2019,Meat Processing,
M46693 + P46693,United Fruit and Produce Co.,45 Produce Row,St. Louis,MO,63102,(314) 621-9440,05/06/2019,"Meat Processing, Poultry Processing",
M46697 + P46697,Miami Desserts Corp.,"2445 W. 80th Street, Bay # 6",Hileah,FL,33016,(786) 580-5983,11/03/2020,Meat Processing,
M46700,Cargill Meat Solutions Corporation,2700 Yetter Court,Camp Hill,PA,17011,316721,10/25/2021,Meat Processing,Cargill Meat Solutions; Vantage Foods
M46706 + P46706 + V46706,Northeast Kingdom Processing LLC,796 Industrial Parkway,St. Johnsbury,VT,5819,(802) 748-2233,02/04/2020,"Identification - Meat, Identification - Poultry, Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M46707 + P46707,Hartland Abattoir Corp,7968 Ridge Road,Gasport,NY,14067,(716) 772-7111,07/07/2014,"Meat Processing, Meat Slaughter, Poultry Processing",
M46712 + P46712,DNATA US INFLIGHT CATERING,45 Rason Road,Inwood,NY,11096,(718) 663-4612,10/26/2021,"Meat Processing, Poultry Processing",
M46719A + P46719A,New England Charcuterie,108 Clematis Drive,Waltham,MA,2453,(781) 693-9500,07/09/2019,"Meat Processing, Poultry Processing",
M46723 + P46723,A Casa Enterprises LLC,4007 West Chester Pike,Newtown Square,PA,19073,(610) 356-4099,11/24/2015,"Meat Processing, Poultry Processing",A Casa Pizza
M46726,"Southern Pride Processing, LLC",6310 Murphy Highway,Blairsville,GA,30512,(706) 400-5508,02/03/2021,"Meat Processing, Meat Slaughter",
M46727,McKimbells Clover LLC,1904 Jordan Hill Road,Griffin,GA,30223,(404) 919-8185,10/22/2020,"Meat Processing, Meat Slaughter",
M46728,VSU's Small Ruminant Mobile Meat Processing Lab,4415 River Road,Petersburg,VA,23806,(804) 524-6963,05/20/2019,"Meat Processing, Meat Slaughter",
M46730 + P46730,"NGF Processing, LLC",367-A  Mckenzie Rd,Petal,MS,39465,(601) 434-9081,04/16/2021,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",Nature's Gourmet Farm
M46734 + P46734,Davis Meat Processing LLC,39 Highway NN,Jonesburg,MO,63351,(636) 488-5227,05/24/2016,"Meat Processing, Meat Slaughter, Poultry Processing",
